"x","y"
-108.25,33.25
-107.75,33.25
-107.25,33.25
-106.75,33.25
-106.25,33.25
-105.75,33.25
-105.25,33.25
-104.75,33.25
-104.25,33.25
-103.75,33.25
-103.25,33.25
-102.75,33.25
-102.25,33.25
-101.75,33.25
-101.25,33.25
-100.75,33.25
-100.25,33.25
-99.75,33.25
-99.25,33.25
-98.75,33.25
-98.25,33.25
-97.75,33.25
-97.25,33.25
-96.75,33.25
-96.25,33.25
-95.75,33.25
-95.25,33.25
-94.75,33.25
-94.25,33.25
-93.75,33.25
-93.25,33.25
-92.75,33.25
-92.25,33.25
-91.75,33.25
-91.25,33.25
-90.75,33.25
-90.25,33.25
-89.75,33.25
-89.25,33.25
-88.75,33.25
-88.25,33.25
-87.75,33.25
-87.25,33.25
-86.75,33.25
-86.25,33.25
-85.75,33.25
-85.25,33.25
-84.75,33.25
-84.25,33.25
-83.75,33.25
-83.25,33.25
-82.75,33.25
-82.25,33.25
-81.75,33.25
-81.25,33.25
-80.75,33.25
-80.25,33.25
-79.75,33.25
-79.25,33.25
-118.75,32.75
-118.25,32.75
-117.25,32.75
-116.75,32.75
-116.25,32.75
-115.75,32.75
-115.25,32.75
-114.75,32.75
-114.25,32.75
-113.75,32.75
-113.25,32.75
-112.75,32.75
-112.25,32.75
-111.75,32.75
-111.25,32.75
-110.75,32.75
-110.25,32.75
-109.75,32.75
-109.25,32.75
-108.75,32.75
-108.25,32.75
-107.75,32.75
-107.25,32.75
-106.75,32.75
-106.25,32.75
-105.75,32.75
-105.25,32.75
-104.75,32.75
-104.25,32.75
-103.75,32.75
-103.25,32.75
-102.75,32.75
-102.25,32.75
-101.75,32.75
-101.25,32.75
-100.75,32.75
-100.25,32.75
-99.75,32.75
-99.25,32.75
-98.75,32.75
-98.25,32.75
-97.75,32.75
-97.25,32.75
-96.75,32.75
-96.25,32.75
-95.75,32.75
-95.25,32.75
-94.75,32.75
-94.25,32.75
-93.75,32.75
-93.25,32.75
-92.75,32.75
-92.25,32.75
-91.75,32.75
-91.25,32.75
-90.75,32.75
-90.25,32.75
-89.75,32.75
-89.25,32.75
-88.75,32.75
-88.25,32.75
-87.75,32.75
-87.25,32.75
-86.75,32.75
-86.25,32.75
-85.75,32.75
-85.25,32.75
-84.75,32.75
-84.25,32.75
-83.75,32.75
-83.25,32.75
-82.75,32.75
-82.25,32.75
-81.75,32.75
-81.25,32.75
-80.75,32.75
-80.25,32.75
-79.75,32.75
-117.25,32.25
-116.75,32.25
-116.25,32.25
-115.75,32.25
-115.25,32.25
-114.75,32.25
-114.25,32.25
-113.75,32.25
-113.25,32.25
-112.75,32.25
-112.25,32.25
-111.75,32.25
-111.25,32.25
-110.75,32.25
-110.25,32.25
-109.75,32.25
-109.25,32.25
-108.75,32.25
-108.25,32.25
-107.75,32.25
-107.25,32.25
-106.75,32.25
-106.25,32.25
-105.75,32.25
-105.25,32.25
-104.75,32.25
-104.25,32.25
-103.75,32.25
-103.25,32.25
-102.75,32.25
-102.25,32.25
-101.75,32.25
-101.25,32.25
-100.75,32.25
-100.25,32.25
-99.75,32.25
-99.25,32.25
-98.75,32.25
-98.25,32.25
-97.75,32.25
-97.25,32.25
-96.75,32.25
-96.25,32.25
-95.75,32.25
-95.25,32.25
-94.75,32.25
-94.25,32.25
-93.75,32.25
-93.25,32.25
-92.75,32.25
-92.25,32.25
-91.75,32.25
-91.25,32.25
-90.75,32.25
-90.25,32.25
-89.75,32.25
-89.25,32.25
-88.75,32.25
-88.25,32.25
-87.75,32.25
-87.25,32.25
-86.75,32.25
-86.25,32.25
-85.75,32.25
-85.25,32.25
-84.75,32.25
-84.25,32.25
-83.75,32.25
-83.25,32.25
-82.75,32.25
-82.25,32.25
-81.75,32.25
-81.25,32.25
-80.75,32.25
-80.25,32.25
-64.75,32.25
-116.75,31.75
-116.25,31.75
-115.75,31.75
-115.25,31.75
-114.75,31.75
-114.25,31.75
-113.75,31.75
-113.25,31.75
-112.75,31.75
